,Accuracy,Precision,Recall,F1 Score (Micro),F1 Score (Macro),Hamming Loss,Execution Time (s)
Logistic Regression,0.425531914893617,0.8108108108108109,0.6206896551724138,0.703125,0.5352660440471257,0.08085106382978724,0.1136312484741211
Decision Tree,0.3723404255319149,0.6711409395973155,0.6896551724137931,0.6802721088435374,0.5250010245861677,0.1,0.07518649101257324
Random Forest,0.4787234042553192,0.9090909090909091,0.6206896551724138,0.7377049180327869,0.5172471160276039,0.06808510638297872,1.702580213546753
Gradient Boosting,0.5106382978723404,0.8867924528301887,0.6482758620689655,0.749003984063745,0.6092289250682363,0.06702127659574468,1.6498842239379883
XGBoost Classifier,0.6170212765957447,0.856,0.7379310344827587,0.7925925925925926,0.6955643891127762,0.059574468085106386,0.7494893074035645
Hard Voting Classifier,0.5106382978723404,0.8981481481481481,0.6689655172413793,0.766798418972332,0.6056923215936499,0.0627659574468085,1.867908000946045
Soft Voting Classifier,0.5106382978723404,0.8292682926829268,0.7034482758620689,0.7611940298507462,0.6515833512892337,0.06808510638297872,2.27305269241333
Support Vector Machines (SVM),0.43617021276595747,0.8018867924528302,0.5862068965517241,0.6772908366533864,0.4631226246010747,0.08617021276595745,0.3430755138397217
Nural Network,0.4787234042553192,0.7844827586206896,0.6275862068965518,0.6973180076628352,0.5799281898439792,0.08404255319148936,3.5325021743774414
KNN,0.5531914893617021,0.8761904761904762,0.6344827586206897,0.736,0.5389491314992887,0.07021276595744681,0.09641790390014648
