,gender,year,cgpa,university_name,Critical Thinking,Problem Solving,Team Work,Communication Skill,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project,Influencing Factor,Prefer Job
0,1,4,3.84,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,3,3,2,3,3,2,2,3,1,1,0,0,1,0,2,1,2,"Social Acceptance,Job Security","Software Development,Teaching"
1,0,4,2.5,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,flaxible Work Life Balanced,Teaching
2,0,4,3.34,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,0,2,"Salary,Job Environment",Software Development
3,0,4,3.78,United International University (UIU),2,3,2,2,2,2,2,1,2,2,2,2,1,1,1,1,0,1,"Salary,Job Environment",Software Development
4,0,4,3.0,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,3,3,2,2,2,3,3,3,2,2,3,3,1,1,1,0,5,"Salary,Job Environment",Software Development
5,0,3,3.3,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),0,3,3,3,2,2,3,3,3,1,3,3,3,3,3,3,0,3,flaxible Work Life Balanced,Software Development
6,1,4,3.3,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),3,3,3,2,2,3,2,2,2,1,1,1,1,2,1,1,0,4,"Job Environment,Salary",Software Development
7,0,3,3.1,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,1,1,2,2,2,3,1,2,2,2,2,3,1,1,0,2,Salary,"ML/AI Engineer,Abroad"
8,0,4,3.91,"Independent University, Bangladesh (IUB)",2,3,2,2,2,2,2,3,2,1,1,1,1,2,1,0,0,2,"Job Environment,Salary",Data Analysis
9,0,4,3.25,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,3,2,2,2,2,3,2,3,2,2,2,1,1,0,0,0,5,"Job Environment,Social Acceptance",Database Administration
10,0,4,1.0,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,flaxible Work Life Balanced,Business
11,0,3,3.59,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,1,2,2,1,2,2,2,2,2,3,2,1,1,1,2,0,0,Social Acceptance,Software Development
12,0,4,2.87,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,1,2,2,1,1,1,1,1,0,1,2,1,1,1,1,1,3,flaxible Work Life Balanced,BCS
13,0,3,3.0,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,0,0,flaxible Work Life Balanced,Bank Job
14,0,3,3.04,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,1,2,1,2,2,2,2,1,2,2,2,2,1,1,1,0,4,Job Security,Software Development
15,0,4,3.7,United International University (UIU),2,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,0,1,Social Acceptance,Teaching
16,1,4,3.2,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,1,2,2,1,1,1,0,1,0,0,1,0,1,0,0,0,1,flaxible Work Life Balanced,Other
17,0,4,3.02,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,2,1,2,2,2,1,2,1,1,1,1,1,1,1,0,1,"Salary,Job Environment",Software Development
18,0,4,3.27,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),3,3,3,3,3,3,3,1,3,1,1,2,1,1,1,1,0,3,"Social Acceptance,Salary","Software Development,Database Administration,Govt Job"
19,1,4,3.6,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,3,3,2,3,3,2,3,3,1,1,2,1,2,1,1,0,4,Salary,"Software Development,Data Analysis,ML/AI Engineer"
20,0,4,3.09,United International University (UIU),3,3,3,3,3,2,2,1,3,2,2,3,2,1,1,1,0,1,"Job Environment,Salary","Software Development,Cyber Security"
21,0,4,3.0,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,2,2,2,2,2,2,1,2,1,1,2,1,1,1,0,0,4,Salary,Software Development
22,0,2,3.78,United International University (UIU),2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,0,0,2,"Job Security,Job Environment,flaxible Work Life Balanced","Software Development,Data Analysis,ML/AI Engineer,Teaching,Abroad"
23,0,4,3.01,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),3,3,3,3,3,3,2,3,3,1,2,2,1,1,1,2,1,4,"Job Environment,Salary","Software Development,Abroad"
24,0,4,2.8,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),3,3,3,3,2,3,2,2,1,1,1,1,1,2,1,1,1,2,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer,Teaching"
25,0,3,2.9,United International University (UIU),2,3,3,3,3,2,3,2,3,2,2,1,1,1,1,1,1,5,Social Acceptance,Software Development
26,1,1,3.3244034707158354,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,1,2,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,"Job Security,flaxible Work Life Balanced",Govt Job
27,0,4,3.66,Mawlana Bhashani Science & Technology University (MBSTU),3,3,3,3,3,3,2,2,3,2,1,3,2,2,1,1,0,3,Job Environment,"Software Development,Cyber Security"
28,0,1,3.21,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,2,1,1,2,1,0,2,1,1,0,1,1,1,0,0,1,"Social Acceptance,Job Environment,Salary,flaxible Work Life Balanced","Software Development,Teaching,Business"
