,cgpa,Critical Thinking,Problem Solving,Team Work,Communication Skill,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project,Job Environment,Job Security,Other Factor,Salary,Social Acceptance,flaxible Work Life Balanced,,Abroad,BCS,Bank Job,Business,Cyber Security,Data Analysis,Database Administration,Govt Job,ML/AI Engineer,Management,Networking,Other,Researcher,Software Development,Teaching
0,3.84,2,2,3,2,2,3,2,2,1,1,1,0,0,1,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,3.34,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,3.78,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,3.0,2,2,3,2,2,2,3,3,3,2,2,3,3,1,1,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,3.3,0,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,3.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,3.1,2,2,1,1,2,2,2,3,1,2,2,2,2,3,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,3.91,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,3.25,2,1,2,1,1,2,2,2,3,2,2,2,1,2,0,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,3.59,1,1,2,2,1,2,2,2,2,2,3,2,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,2.87,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3.0,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,3.04,2,1,2,1,2,2,2,2,1,2,2,2,2,1,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,3.7,2,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,3.2742857142857145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,3.02,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,3.27,2,2,2,1,1,2,2,1,2,1,1,2,1,1,1,1,0,3,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0
